id,title,age_cat,rating_cat,genre_cat,runtime_cat,popularity_cat,score_cat,budget_cat,budget_efficiency_cat,director_age_cat,director_experience_cat,director_is_acclaimed,director_is_panned,director_efficiency_cat,star_age_cat,star_experience_cat,star_is_acclaimed,star_is_panned,star_efficiency_cat
2458,Rat Race,old,PG-13,Action,medium,very-high,high,high,mid,adult,low,False,False,high,young,low,False,False,high
2459,Summer Catch,old,PG-13,Comedy,medium,mid,very-low,high,low,adult,low,False,False,none,young,mid,False,True,high
2460,Wet Hot American Summer,old,R,Comedy,medium,high,high,low,low,adult,low,False,False,none,adult,low,False,False,none
2461,Shallow Hal,old,PG-13,Comedy,medium,very-high,low,high,high,adult,mid,False,False,high,adult,low,False,False,none
2462,Zoolander,old,PG-13,Comedy,medium,very-high,high,mid,mid,adult,low,False,False,mid,adult,mid,False,True,mid
2463,Jurassic Park III,old,PG-13,Action,medium,very-high,low,very-high,high,adult,mid,True,False,high,adult,mid,True,False,high
2464,Enemy at the Gates,old,R,Drama,long,very-high,very-high,very-high,mid,adult,low,False,False,mid,young,low,False,False,low
2465,Gosford Park,old,R,Comedy,long,high,high,mid,high,elderly,high,True,True,mid,elderly,low,False,False,high
2466,Swordfish,old,R,Action,medium,very-high,high,very-high,mid,adult,low,False,False,mid,adult,high,True,True,mid
2467,Jeepers Creepers,old,R,Horror,medium,very-high,low,mid,high,adult,low,False,False,high,adult,low,False,False,none
2468,Hardball,old,R,Drama,medium,mid,high,high,mid,adult,mid,False,True,mid,adult,high,True,False,high
2469,Evolution,old,PG-13,Comedy,medium,very-high,low,very-high,mid,adult,high,True,True,high,adult,mid,False,False,mid
2470,Original Sin,old,R,Drama,medium,high,low,high,low,adult,low,False,False,none,adult,mid,False,False,mid
2471,Monster's Ball,old,R,Drama,medium,high,high,low,high,adult,low,False,False,none,adult,low,True,False,high
2472,Spy Kids,old,PG,Action,short,very-high,low,high,high,adult,mid,False,False,high,young,low,False,False,none
2473,Behind Enemy Lines,old,PG-13,Action,medium,very-high,high,high,mid,adult,low,False,False,none,elderly,high,True,True,mid
2474,Bridget Jones's Diary,old,R,Comedy,medium,very-high,high,mid,high,adult,low,False,False,none,adult,low,False,True,low
2475,I Am Sam,old,PG-13,Drama,long,very-high,very-high,mid,high,adult,low,False,False,none,adult,high,False,True,mid
2476,The Last Castle,old,R,Action,long,high,high,very-high,low,adult,low,False,False,mid,elderly,high,True,False,high
2477,Spy Game,old,R,Action,long,very-high,high,very-high,mid,adult,high,True,False,high,elderly,high,True,False,high
2478,Lara Croft: Tomb Raider,old,PG-13,Action,medium,very-high,low,very-high,mid,adult,low,False,False,mid,young,low,False,False,none
2479,American Pie 2,old,R,Comedy,medium,very-high,high,high,high,adult,low,False,False,none,young,low,False,True,high
2480,Frailty,old,R,Crime,medium,high,high,mid,mid,adult,low,False,False,none,adult,mid,True,False,low
2481,Along Came a Spider,old,R,Drama,medium,high,high,very-high,mid,adult,low,False,False,low,elderly,high,True,False,high
2482,Rush Hour 2,old,PG-13,Action,medium,very-high,high,very-high,high,adult,mid,False,False,high,adult,high,True,False,high
2483,Save the Last Dance,old,PG-13,Drama,medium,high,low,mid,high,adult,low,False,False,low,young,low,False,False,none
2484,Domestic Disturbance,old,PG-13,Crime,short,mid,low,very-high,low,elderly,mid,False,False,mid,adult,high,True,True,mid
2485,Riding in Cars with Boys,old,PG-13,Biography,long,mid,high,high,low,adult,mid,True,False,high,young,high,False,True,mid
2486,The Animal,old,PG-13,Comedy,short,high,very-low,high,mid,young,low,False,False,none,adult,low,False,False,high
2487,How High,old,R,Comedy,medium,high,low,mid,mid,adult,low,False,False,none,adult,low,False,False,none
2488,Joy Ride,old,R,Action,medium,high,high,mid,mid,adult,mid,False,False,low,adult,low,False,False,none
2489,3000 Miles to Graceland,old,R,Action,long,mid,low,very-high,low,adult,low,False,False,none,adult,high,True,False,mid
2490,The Score,old,R,Action,long,very-high,high,very-high,mid,adult,high,False,False,mid,adult,high,True,True,mid
2491,Jason X,old,R,Action,medium,high,very-low,mid,mid,adult,low,False,True,low,adult,low,False,False,none
2492,Jay and Silent Bob Strike Back,old,R,Comedy,medium,very-high,high,mid,mid,adult,mid,True,False,high,young,low,False,False,none
2493,The Mexican,old,R,Adventure,long,very-high,low,high,mid,adult,low,False,False,high,adult,high,True,False,mid
2494,From Hell,old,R,Horror,long,very-high,high,high,mid,young,low,True,False,high,adult,high,True,False,mid
2495,Crocodile Dundee in Los Angeles,old,PG,Action,medium,mid,very-low,mid,mid,adult,mid,False,True,mid,elderly,mid,False,True,high
2496,Heist,old,R,Action,medium,mid,high,high,low,adult,low,False,False,low,elderly,high,True,True,mid
2497,Serendipity,old,PG-13,Comedy,medium,very-high,high,mid,mid,adult,low,False,False,none,adult,high,True,False,mid
2498,Brotherhood of the Wolf,old,R,Action,long,high,high,mid,mid,adult,low,False,False,none,adult,low,False,False,none
2499,The Pledge,old,R,Crime,long,high,high,high,low,adult,low,False,False,low,elderly,high,True,True,mid
2500,American Outlaws,old,PG-13,Action,medium,mid,low,high,low,adult,mid,False,True,high,young,low,False,False,low
2501,Ghosts of Mars,old,R,Action,medium,high,very-low,mid,low,adult,high,True,False,mid,young,low,False,False,high
2502,The Man Who Wasn't There,old,R,Crime,medium,very-high,very-high,mid,low,adult,high,True,False,mid,adult,low,True,False,high
2503,Rock Star,old,R,Drama,medium,mid,low,high,low,adult,high,False,True,high,adult,mid,True,False,mid
2504,Osmosis Jones,old,PG,Animation,medium,mid,low,very-high,low,adult,mid,False,False,high,adult,high,False,True,mid
2505,Saving Silverman,old,PG-13,Comedy,medium,mid,low,mid,mid,adult,mid,False,True,high,young,low,False,True,high
2506,The Glass House,old,PG-13,Crime,medium,mid,low,high,low,adult,low,False,False,none,adult,low,False,False,low
2507,The Wedding Planner,old,PG-13,Comedy,medium,high,very-low,high,mid,adult,low,False,False,none,adult,low,False,False,mid
2508,Heartbreakers,old,PG-13,Comedy,long,high,low,high,mid,adult,low,False,False,none,adult,high,True,False,mid
2509,Session 9,old,R,Horror,medium,high,high,low,mid,adult,low,False,False,none,adult,low,False,True,low
2510,Out Cold,old,PG-13,Comedy,short,mid,low,mid,low,adult,low,False,False,none,adult,low,False,False,none
2511,Hedwig and the Angry Inch,old,R,Comedy,medium,mid,very-high,low,low,adult,low,False,False,none,adult,low,False,False,none
2512,Baby Boy,old,R,Crime,long,mid,high,mid,mid,adult,mid,True,False,high,adult,low,False,False,none
2513,K-PAX,old,PG-13,Drama,long,very-high,very-high,very-high,low,adult,low,False,False,low,adult,high,True,False,high
2514,Freddy Got Fingered,old,R,Comedy,short,mid,very-low,mid,mid,adult,low,False,False,none,adult,low,False,False,none
2515,Sweet November,old,PG-13,Drama,medium,high,high,high,mid,adult,low,False,False,none,adult,high,True,False,high
2516,Kate & Leopold,old,PG-13,Comedy,medium,high,high,high,mid,adult,low,False,False,mid,adult,low,False,False,mid
2517,Don't Say a Word,old,R,Drama,medium,high,low,high,mid,adult,low,False,False,mid,adult,high,True,False,high
2518,Ali,old,R,Biography,long,high,high,very-high,low,adult,high,True,False,mid,adult,high,False,True,high
2519,Life as a House,old,R,Drama,long,mid,very-high,mid,low,elderly,mid,False,False,mid,young,low,False,False,none
2520,Ichi the Killer,old,R,Action,long,high,high,low,low,adult,low,False,False,none,young,low,False,False,none
2521,Tomcats,old,R,Comedy,medium,mid,very-low,mid,mid,adult,low,False,False,none,young,low,False,False,none
2522,Bandits,old,PG-13,Comedy,long,high,high,very-high,low,adult,high,True,True,high,adult,high,True,True,mid
2523,Monkeybone,old,PG-13,Animation,medium,mid,very-low,very-high,low,adult,low,True,False,mid,adult,high,False,True,mid
2524,In the Bedroom,old,R,Crime,long,mid,very-high,low,high,adult,low,False,False,none,adult,low,False,False,none
2525,Pootie Tang,old,PG-13,Action,short,mid,very-low,low,low,adult,low,False,False,none,adult,low,False,False,mid
2526,Bubble Boy,old,PG-13,Adventure,short,mid,low,mid,low,adult,low,False,False,none,young,low,True,False,mid
2527,Josie and the Pussycats,old,PG-13,Comedy,medium,mid,low,high,low,adult,low,False,False,mid,young,low,False,False,none
2528,The Devil's Backbone,old,R,Drama,medium,high,very-high,low,mid,adult,low,False,False,low,adult,low,False,False,none
2529,Shaolin Soccer,old,PG,Action,short,high,high,mid,high,adult,low,False,False,none,adult,low,False,False,none
2530,Jimmy Neutron: Boy Genius,old,G,Animation,short,mid,low,high,high,adult,low,False,False,none,adult,low,False,False,none
2531,Driven,old,PG-13,Action,medium,mid,very-low,very-high,low,adult,high,False,True,mid,adult,high,True,True,mid
2532,Get Over It,old,PG-13,Comedy,short,mid,low,mid,low,adult,low,False,False,none,young,mid,False,False,mid
2533,Exit Wounds,old,R,Action,medium,mid,low,high,mid,adult,low,False,False,high,adult,high,False,True,mid
2534,The Majestic,old,PG,Drama,long,high,high,very-high,low,adult,low,True,False,mid,adult,high,True,False,high
2535,Valentine,old,R,Horror,medium,mid,very-low,mid,mid,adult,low,False,False,high,adult,low,False,False,none
2536,Final Fantasy: The Spirits Within,old,PG-13,Animation,medium,high,high,very-high,low,adult,low,False,False,none,adult,high,True,True,mid
2537,The One,old,PG-13,Action,short,high,low,high,mid,adult,low,False,False,high,adult,low,False,False,high
2538,Sugar & Spice,old,PG-13,Comedy,short,mid,low,mid,low,adult,low,False,False,none,young,low,False,False,none
2539,Cats & Dogs,old,PG,Action,short,high,very-low,very-high,high,adult,low,False,False,none,adult,high,True,True,mid
2540,Hearts in Atlantis,old,PG-13,Drama,medium,mid,high,high,low,adult,low,True,False,high,elderly,high,True,False,low
2541,America's Sweethearts,old,PG-13,Comedy,medium,high,low,high,high,adult,low,False,False,none,adult,high,True,False,high
2542,Kiss of the Dragon,old,R,Action,medium,high,high,mid,mid,adult,low,False,False,none,adult,low,False,False,high
2543,Captain Corelli's Mandolin,old,R,Drama,long,mid,low,high,mid,adult,low,False,False,high,adult,high,True,True,mid
2544,The Believer,old,R,Drama,medium,mid,high,low,low,adult,low,False,False,none,young,low,False,False,none
2545,Someone Like You,old,PG-13,Comedy,medium,mid,low,mid,mid,adult,low,False,False,low,adult,low,False,False,mid
2546,The Tailor of Panama,old,R,Comedy,medium,mid,low,mid,mid,elderly,mid,True,False,mid,adult,mid,False,False,high
2547,Formula 51,old,R,Action,medium,mid,low,mid,low,adult,low,False,True,mid,adult,mid,False,False,mid
2548,15 Minutes,old,R,Action,long,mid,low,very-high,low,adult,low,False,True,mid,adult,high,True,True,mid
2549,Iris,old,R,Biography,medium,mid,high,low,mid,adult,low,False,False,none,elderly,low,False,False,none
2550,Crazy/Beautiful,old,PG-13,Drama,medium,mid,high,mid,mid,adult,low,False,False,none,young,mid,False,False,mid
2551,Angel Eyes,old,R,Drama,medium,mid,low,high,low,adult,low,False,False,mid,adult,low,False,False,mid
2552,Kabhi Khushi Kabhie Gham...,old,Unrated,Drama,long,mid,very-high,low,mid,young,low,False,False,none,adult,low,False,False,none
2553,Buffalo Soldiers,old,R,Comedy,medium,mid,high,mid,low,adult,low,False,False,none,young,low,False,False,low
2554,The Musketeer,old,PG-13,Action,medium,mid,very-low,high,low,adult,high,False,False,mid,adult,low,False,False,none
2555,O,old,R,Drama,medium,mid,low,low,high,adult,low,False,False,none,young,low,False,False,none
2556,Birthday Girl,old,R,Comedy,medium,mid,low,mid,mid,adult,low,False,False,none,adult,low,False,False,low
2557,Made,old,R,Comedy,medium,mid,high,low,mid,adult,low,False,False,none,adult,low,False,True,high
2558,One Night at McCool's,old,R,Comedy,medium,mid,low,mid,low,adult,low,False,False,none,young,low,False,False,none
2559,Dr. Dolittle 2,old,PG,Comedy,short,mid,very-low,very-high,mid,adult,low,False,False,high,adult,high,True,True,high
2560,Max Keeble's Big Move,old,PG,Comedy,short,low,very-low,mid,low,adult,low,False,False,low,young,low,False,True,mid
2561,Soul Survivors,old,PG-13,Horror,short,low,very-low,mid,low,young,low,False,False,none,young,low,False,False,none
2562,Black Knight,old,PG-13,Adventure,medium,mid,very-low,high,low,adult,low,False,False,mid,adult,mid,False,True,high
2563,The Shipping News,old,R,Drama,medium,mid,high,high,low,adult,mid,True,False,mid,adult,high,True,False,high
2564,The Deep End,old,R,Crime,medium,mid,high,low,high,adult,low,False,False,none,adult,low,False,False,mid
2565,Kissing Jessica Stein,old,R,Comedy,medium,mid,high,low,high,adult,low,False,False,none,adult,low,False,False,none
2566,Antitrust,old,PG-13,Action,medium,mid,low,high,low,adult,low,False,False,mid,young,low,False,False,mid
2567,Just Visiting,old,PG-13,Adventure,short,mid,low,high,low,adult,low,False,False,none,adult,low,False,False,high
2568,L.I.E.,old,Unrated,Crime,medium,low,high,low,mid,adult,low,False,False,none,adult,low,False,False,none
2569,The Wash,old,R,Comedy,medium,low,very-low,low,mid,adult,low,False,False,none,adult,low,False,False,none
2570,Bones,old,R,Crime,medium,low,very-low,mid,low,adult,mid,False,False,mid,adult,low,False,False,none
2571,Say It Isn't So,old,R,Comedy,medium,mid,very-low,mid,low,adult,low,False,False,none,young,low,False,True,low
2572,Texas Rangers,old,PG-13,Action,medium,low,very-low,high,low,adult,high,False,False,high,young,low,False,False,high
2573,What's the Worst That Could Happen?,old,PG-13,Comedy,medium,mid,low,very-high,low,adult,low,False,False,mid,adult,mid,False,True,high
2574,Head Over Heels,old,PG-13,Comedy,short,mid,low,mid,low,adult,low,False,False,low,adult,low,False,False,none
2575,Glitter,old,PG-13,Drama,medium,mid,very-low,mid,low,adult,low,False,False,none,adult,low,False,False,none
2576,Down to Earth,old,PG-13,Comedy,short,mid,very-low,high,mid,adult,low,False,False,none,adult,low,False,False,mid
2577,Tape,old,R,Drama,short,mid,high,low,high,adult,mid,True,False,high,adult,high,True,False,mid
2578,See Spot Run,old,PG,Action,medium,low,very-low,high,mid,adult,low,False,True,low,adult,low,False,True,mid
2579,Two Can Play That Game,old,R,Comedy,medium,low,low,mid,mid,young,low,False,False,none,adult,low,False,False,none
2580,Impostor,old,PG-13,Drama,medium,mid,low,high,low,adult,low,False,False,mid,adult,low,False,False,none
2581,Metropolis,old,PG-13,Animation,medium,mid,high,mid,low,elderly,low,False,False,none,adult,low,False,False,none
2582,The Affair of the Necklace,old,R,Drama,medium,low,low,high,low,elderly,mid,False,True,mid,young,low,True,False,high
2583,Lovely & Amazing,old,R,Comedy,medium,low,high,low,high,adult,low,False,False,none,adult,low,False,False,none
2584,Corky Romano,old,PG-13,Comedy,short,mid,very-low,mid,mid,adult,low,False,False,none,adult,low,False,False,mid
2585,Recess: School's Out,old,G,Animation,short,low,high,mid,mid,adult,low,False,False,none,young,low,False,False,none
2586,The Other Side of Heaven,old,PG,Adventure,medium,low,high,low,low,adult,low,False,False,none,young,low,False,False,none
2587,The Grey Zone,old,R,Drama,medium,mid,high,low,low,adult,low,False,False,none,adult,low,False,True,mid
2588,Novocaine,old,R,Comedy,medium,mid,low,low,low,adult,low,False,False,none,adult,high,True,True,mid
2589,Charlotte Gray,old,PG-13,Drama,long,mid,high,mid,low,adult,low,False,False,mid,adult,low,True,False,high
2590,The Curse of the Jade Scorpion,old,PG-13,Comedy,medium,mid,high,high,low,elderly,high,True,False,low,adult,low,False,False,none
2591,Spider-Man,old,PG-13,Action,long,very-high,high,very-high,high,adult,high,True,False,mid,young,mid,True,False,mid
2592,The Sum of All Fears,old,PG-13,Action,long,very-high,high,very-high,mid,adult,low,False,False,mid,adult,high,False,False,high
2593,8 Mile,old,R,Drama,medium,very-high,high,high,high,adult,high,True,True,mid,adult,low,False,False,none
2594,The Pianist,old,R,Biography,long,very-high,very-high,high,high,elderly,mid,False,False,low,young,low,False,False,none
2595,Harry Potter and the Chamber of Secrets,old,PG,Adventure,long,very-high,very-high,very-high,high,adult,high,True,False,high,young,low,True,False,high
2596,The Lord of the Rings: The Two Towers,old,PG-13,Action,long,very-high,very-high,very-high,high,adult,mid,True,False,mid,young,mid,True,True,high
2597,Road to Perdition,old,R,Crime,medium,very-high,very-high,very-high,mid,adult,low,True,False,high,adult,high,True,False,high
2598,Resident Evil,old,R,Action,medium,very-high,high,high,high,adult,mid,False,False,mid,young,low,False,False,low
2599,Catch Me If You Can,old,PG-13,Biography,long,very-high,very-high,high,high,adult,high,True,False,high,young,high,True,False,high
2600,28 Days Later...,old,R,Drama,medium,very-high,very-high,low,high,adult,mid,False,False,mid,young,low,False,False,none
2601,The Ring,old,PG-13,Horror,medium,very-high,high,high,high,adult,low,False,False,mid,adult,low,True,False,mid
2602,Signs,old,PG-13,Drama,medium,very-high,high,very-high,high,adult,mid,True,False,high,adult,high,True,False,high
2603,The Bourne Identity,old,PG-13,Action,medium,very-high,very-high,very-high,high,adult,low,False,False,high,young,low,False,False,none
2604,Star Wars: Episode II - Attack of the Clones,old,PG,Action,long,very-high,high,very-high,high,adult,low,False,False,high,young,low,True,False,low
2605,Secretary,old,R,Comedy,medium,high,high,low,mid,adult,low,False,False,none,adult,mid,False,True,high
2606,Scooby-Doo,old,PG,Adventure,short,very-high,very-low,very-high,high,adult,mid,False,True,high,adult,low,False,False,none
2607,Reign of Fire,old,PG-13,Action,medium,very-high,low,very-high,mid,adult,low,False,False,mid,adult,mid,True,False,mid
2608,Minority Report,old,PG-13,Action,long,very-high,very-high,very-high,high,adult,high,True,False,high,adult,high,True,True,high
2609,Austin Powers in Goldmember,old,PG-13,Action,medium,very-high,low,very-high,high,adult,mid,False,False,high,adult,high,True,False,high
2610,Red Dragon,old,R,Crime,long,very-high,high,very-high,mid,adult,mid,False,False,high,elderly,high,True,False,mid
2611,Gangs of New York,old,R,Crime,long,very-high,very-high,very-high,mid,elderly,high,True,False,mid,young,high,True,False,high
2612,The Importance of Being Earnest,old,PG,Comedy,medium,mid,high,mid,mid,adult,low,False,False,low,adult,low,False,False,low
2613,Sweet Home Alabama,old,PG-13,Comedy,medium,very-high,low,high,high,adult,mid,False,False,mid,young,low,False,False,high
2614,The Count of Monte Cristo,old,PG-13,Action,long,very-high,very-high,high,mid,adult,high,False,False,mid,adult,low,True,False,mid
2615,Adaptation.,old,R,Comedy,medium,very-high,very-high,mid,mid,adult,low,True,False,mid,adult,high,True,True,mid
2616,Unfaithful,old,R,Drama,long,high,high,high,mid,elderly,high,True,False,high,adult,high,True,True,mid
2617,Ice Age,old,PG,Animation,short,very-high,very-high,high,high,adult,low,False,False,none,adult,low,False,False,mid
2618,Panic Room,old,R,Crime,medium,very-high,high,high,high,adult,mid,True,False,high,adult,high,True,False,high
2619,Insomnia,old,R,Drama,medium,very-high,high,high,mid,adult,low,True,False,high,elderly,high,True,True,mid
2620,Men in Black II,old,PG-13,Action,short,very-high,low,very-high,high,adult,high,False,True,high,adult,mid,False,False,mid
2621,Lilo & Stitch,old,PG,Animation,medium,very-high,high,very-high,high,adult,low,False,False,none,young,low,True,False,high
2622,Chicago,old,PG-13,Comedy,medium,very-high,high,high,high,adult,low,False,False,none,adult,mid,False,True,high
2623,A Walk to Remember,old,PG,Drama,medium,very-high,high,mid,high,adult,low,False,True,mid,young,low,False,False,none
2624,Treasure Planet,old,PG,Animation,medium,very-high,high,very-high,low,adult,mid,True,False,high,young,low,False,False,none
2625,My Big Fat Greek Wedding,old,PG,Comedy,medium,very-high,high,low,high,elderly,low,False,False,none,adult,low,False,False,none
2626,We Were Soldiers,old,R,Action,long,very-high,high,very-high,mid,adult,low,False,False,high,adult,high,True,False,high
2627,The Sweetest Thing,old,R,Comedy,short,high,very-low,high,mid,adult,low,False,False,high,adult,mid,False,False,high
2628,xXx,old,PG-13,Action,long,very-high,low,very-high,high,adult,mid,False,False,high,adult,low,False,False,high
2629,Equilibrium,old,R,Action,medium,very-high,very-high,mid,low,adult,low,False,False,none,young,mid,True,False,mid
2630,The Scorpion King,old,PG-13,Action,medium,very-high,low,very-high,high,adult,mid,False,True,high,adult,low,False,False,none
2631,Punch-Drunk Love,old,R,Comedy,medium,very-high,high,mid,low,adult,mid,True,False,mid,adult,high,False,True,high
2632,Die Another Day,old,PG-13,Action,long,very-high,low,very-high,high,adult,mid,False,False,mid,adult,high,False,False,mid
2633,The Time Machine,old,PG-13,Action,medium,very-high,low,very-high,mid,adult,low,False,False,none,adult,low,True,False,mid
2634,The Transporter,old,PG-13,Action,medium,very-high,high,mid,mid,young,low,False,False,none,adult,low,False,False,none
2635,Blue Crush,old,PG-13,Drama,medium,mid,low,mid,mid,adult,low,False,False,mid,young,low,False,False,none
2636,Ghost Ship,old,R,Horror,medium,high,low,mid,high,adult,low,False,False,mid,adult,low,False,False,none
2637,Van Wilder,old,R,Comedy,medium,very-high,high,low,high,adult,low,False,False,none,young,low,False,False,none
2638,Maid in Manhattan,old,PG-13,Comedy,medium,high,very-low,high,mid,adult,mid,True,True,mid,adult,mid,False,True,mid
2639,Spirit: Stallion of the Cimarron,old,G,Animation,short,high,high,very-high,mid,adult,low,False,False,none,adult,mid,True,False,mid
2640,Blade II,old,R,Action,medium,very-high,high,high,mid,adult,mid,True,False,low,adult,high,False,True,mid
2641,Frida,old,R,Biography,long,high,very-high,mid,high,adult,low,False,False,none,adult,low,False,False,none
2642,Phone Booth,old,R,Crime,short,very-high,high,mid,high,elderly,high,True,True,mid,young,low,False,False,low
2643,About a Boy,old,PG-13,Comedy,medium,very-high,high,high,high,adult,low,False,True,mid,adult,high,False,False,mid
2644,Confessions of a Dangerous Mind,old,R,Biography,medium,high,high,high,mid,adult,low,False,False,none,adult,low,True,False,low
2645,Kung Pow: Enter the Fist,old,PG-13,Action,short,mid,low,mid,mid,adult,low,False,False,high,adult,low,False,False,none
2646,Hero,old,PG-13,Action,long,very-high,very-high,high,high,adult,low,False,False,none,adult,mid,False,False,mid
2647,Star Trek: Nemesis,old,PG-13,Action,medium,high,high,very-high,mid,adult,low,False,False,mid,elderly,mid,True,False,high
2648,Eight Legged Freaks,old,PG-13,Action,medium,high,very-low,high,mid,adult,low,False,False,none,adult,mid,False,True,mid
2649,Queen of the Damned,old,R,Drama,medium,high,very-low,high,mid,adult,low,False,False,mid,young,low,False,False,none
2650,Femme Fatale,old,R,Crime,medium,mid,low,high,low,elderly,high,True,False,mid,adult,low,False,False,none
2651,The Hours,old,PG-13,Drama,medium,very-high,very-high,mid,high,adult,low,True,False,high,adult,high,True,False,mid
2652,40 Days and 40 Nights,old,R,Comedy,medium,high,low,mid,high,adult,mid,False,False,low,young,low,True,False,mid
2653,One Hour Photo,old,R,Drama,medium,very-high,high,mid,high,adult,low,False,False,none,adult,high,True,True,high
2654,Cabin Fever,old,R,Horror,medium,high,low,low,high,adult,low,False,False,none,young,low,False,False,none
2655,The New Guy,old,PG-13,Comedy,short,mid,low,mid,mid,adult,low,False,False,none,young,low,False,False,none
2656,Orange County,old,PG-13,Comedy,short,mid,low,mid,mid,young,low,False,False,low,young,low,False,False,none
2657,Mr. Deeds,old,PG-13,Comedy,medium,very-high,low,high,high,adult,low,False,True,low,adult,high,False,True,high
2658,John Q,old,PG-13,Crime,medium,very-high,high,high,mid,adult,low,False,False,low,adult,high,True,False,mid
2659,Crossroads,old,PG-13,Comedy,medium,mid,very-low,mid,high,adult,mid,False,False,mid,young,low,False,False,none
2660,25th Hour,old,R,Drama,long,very-high,very-high,low,high,adult,high,True,True,mid,adult,low,True,False,mid
2661,Infernal Affairs,old,R,Action,medium,very-high,very-high,low,mid,adult,low,False,False,none,adult,low,False,False,none
2662,Solaris,old,PG-13,Drama,medium,high,low,high,low,adult,high,True,False,mid,adult,high,True,False,mid
2663,Like Mike,old,PG,Comedy,medium,mid,very-low,high,mid,elderly,low,False,False,mid,young,low,False,False,none
2664,The Rules of Attraction,old,R,Comedy,medium,high,high,low,mid,adult,low,False,False,low,young,low,False,True,mid
2665,I Spy,old,PG-13,Action,medium,high,very-low,very-high,low,adult,mid,False,True,mid,adult,high,True,True,high
2666,The Mothman Prophecies,old,PG-13,Drama,medium,high,high,high,mid,adult,low,False,False,mid,adult,high,True,True,mid
2667,Antwone Fisher,old,PG-13,Biography,long,mid,high,mid,mid,adult,low,False,False,none,adult,high,True,False,mid
2668,The Good Girl,old,R,Drama,medium,mid,high,low,mid,adult,low,False,False,high,adult,low,False,False,high
2669,Spun,old,Unrated,Comedy,medium,mid,high,low,low,adult,low,False,False,none,young,low,True,False,mid
2670,Sympathy for Mr. Vengeance,old,R,Crime,long,high,very-high,low,low,adult,low,False,False,none,adult,low,False,False,none
2671,Enough,old,PG-13,Crime,medium,mid,low,high,mid,elderly,high,False,True,mid,adult,mid,False,True,mid
2672,High Crimes,old,PG-13,Crime,medium,mid,high,high,mid,adult,low,False,False,low,adult,low,True,False,mid
2673,Two Weeks Notice,old,PG-13,Comedy,medium,very-high,low,very-high,high,adult,low,False,False,none,adult,high,False,True,high
2674,Death to Smoochy,old,R,Comedy,medium,mid,low,high,low,adult,mid,False,False,high,adult,high,True,True,high
2675,The Four Feathers,old,PG-13,Action,long,mid,high,high,low,adult,low,True,False,mid,young,low,False,False,mid
2676,Better Luck Tomorrow,old,R,Crime,medium,low,high,low,high,adult,low,False,False,none,young,low,False,False,none
2677,Big Fat Liar,old,PG,Adventure,short,mid,low,mid,high,adult,low,False,False,none,young,low,False,False,high
2678,About Schmidt,old,R,Comedy,long,very-high,high,high,high,adult,low,False,False,low,elderly,high,True,True,mid
2679,The Master of Disguise,old,PG,Adventure,short,mid,very-low,mid,mid,adult,low,False,False,none,adult,low,False,False,none
2680,Drumline,old,PG-13,Comedy,medium,mid,low,mid,mid,adult,low,False,False,none,young,low,False,False,none
2681,Halloween: Resurrection,old,R,Horror,medium,mid,very-low,mid,mid,adult,low,False,False,high,adult,mid,False,True,high
2682,Windtalkers,old,R,Action,long,high,low,very-high,low,adult,mid,False,False,high,adult,high,True,True,mid
2683,Friday After Next,old,R,Comedy,short,mid,low,mid,high,adult,low,False,False,none,adult,low,False,False,high
2684,Eye See You,old,R,Crime,medium,mid,very-low,high,low,adult,low,False,False,high,adult,high,True,True,mid
2685,Undercover Brother,old,PG-13,Action,short,mid,low,mid,mid,adult,low,False,False,high,adult,low,False,False,none
2686,Spy Kids 2: Island of Lost Dreams,old,PG,Action,medium,high,very-low,high,high,adult,high,False,False,high,young,low,False,False,high
2687,Tuck Everlasting,old,PG,Drama,medium,mid,high,mid,mid,adult,low,False,False,high,young,low,False,False,none
2688,The Rookie,old,G,Drama,long,mid,high,mid,high,adult,low,False,False,none,adult,high,False,True,mid
2689,Murder by Numbers,old,R,Crime,medium,high,low,high,mid,elderly,mid,False,False,low,adult,high,False,True,high
2690,Hart's War,old,R,Drama,long,high,low,very-high,low,adult,low,True,False,mid,adult,high,True,True,mid
2691,Swept Away,old,R,Comedy,short,mid,very-low,mid,low,adult,low,False,False,none,adult,mid,False,True,mid
2692,May,old,R,Comedy,medium,mid,high,low,low,young,low,False,False,none,young,low,False,False,none
2693,Dragonfly,old,PG-13,Drama,medium,mid,low,very-high,low,adult,mid,False,False,high,adult,high,True,False,high
2694,Juwanna Mann,old,PG-13,Comedy,medium,low,very-low,mid,low,young,low,False,False,none,adult,low,False,False,none
2695,Divine Secrets of the Ya-Ya Sisterhood,old,PG-13,Drama,medium,mid,low,mid,mid,adult,low,False,False,none,adult,high,False,True,high
2696,Dirty Pretty Things,old,R,Crime,medium,mid,high,mid,mid,elderly,mid,True,False,mid,young,low,False,False,none
2697,The Tuxedo,old,PG-13,Action,medium,high,very-low,very-high,mid,adult,low,False,False,none,adult,high,True,False,high
2698,Swimfan,old,PG-13,Drama,short,mid,very-low,mid,high,adult,low,False,False,none,young,low,True,False,low
2699,Serving Sara,old,PG-13,Comedy,medium,mid,very-low,mid,low,adult,mid,False,True,high,adult,low,False,False,mid
2700,K-19: The Widowmaker,old,PG-13,Drama,long,high,high,very-high,low,adult,mid,False,False,mid,elderly,high,True,True,high
